location_name,date,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,wind_speed_meteostat,pressure_meteostat,cloud_cover_meteostat
The Views,2025-06-14,36.96666666666667,31.8,44.2,36.75,0.0,12.745833333333332,999.75,0.0
The Views,2025-06-15,35.82083333333333,32.3,39.2,32.916666666666664,0.0,11.554166666666667,996.9208333333332,0.041666666666666664
The Views,2025-06-16,36.479166666666664,32.1,40.4,41.458333333333336,0.0,12.320833333333333,994.8833333333333,0.0
The Views,2025-06-17,37.69166666666667,31.3,44.2,39.791666666666664,0.0,12.225,995.2291666666666,0.0
The Views,2025-06-18,36.025,30.2,42.2,41.958333333333336,0.0,12.858333333333334,996.4291666666667,0.0
The Views,2025-06-19,34.94166666666667,30.2,41.0,60.5,0.0,13.862499999999999,996.7166666666667,0.0
The Views,2025-06-20,34.78333333333333,30.0,42.0,58.166666666666664,0.0,13.520833333333334,997.0625,0.625
The Views,2025-06-21,34.81666666666667,29.6,41.8,59.75,0.0,11.4,997.975,0.375
The Views,2025-06-22,34.96666666666667,30.0,41.2,53.416666666666664,0.0,10.725,997.7125,0.125
The Views,2025-06-23,34.645833333333336,29.8,39.5,54.083333333333336,0.0,14.670833333333334,996.1791666666667,0.4166666666666667
The Views,2025-06-24,35.09583333333334,30.0,41.5,41.875,0.0,16.070833333333333,994.9208333333335,0.20833333333333334
The Views,2025-06-25,34.770833333333336,30.8,40.2,43.0,0.0,14.424999999999999,994.0958333333333,0.5833333333333334
The Views,2025-06-26,34.52916666666667,30.1,38.2,60.375,0.0,12.7125,995.3208333333333,0.041666666666666664
The Views,2025-06-27,36.47083333333333,32.8,43.0,45.291666666666664,0.0,12.429166666666667,994.8208333333333,0.5416666666666666
The Views,2025-06-28,36.35,33.3,41.2,51.291666666666664,0.0,11.737499999999999,994.0625,1.2083333333333333
The Views,2025-06-29,35.300000000000004,33.0,38.5,55.958333333333336,0.0,11.275,993.0708333333333,2.0
The Views,2025-06-30,34.266666666666666,30.8,38.0,59.791666666666664,0.0,11.375,993.2666666666668,1.375
The Views,2025-07-01,35.94166666666667,30.3,41.0,49.25,0.0,10.379166666666666,994.1,0.5416666666666666
The Views,2025-07-02,35.0,31.1,38.7,54.208333333333336,0.0,11.85,994.7583333333333,0.08333333333333333
The Views,2025-07-03,34.46666666666667,31.0,39.7,64.29166666666667,0.0,13.608333333333334,994.9083333333333,0.5416666666666666
The Views,2025-07-04,34.425000000000004,30.8,39.2,65.58333333333333,0.0,13.549999999999999,995.5541666666667,0.9166666666666666
The Views,2025-07-05,34.74166666666667,32.2,38.0,63.958333333333336,0.0,11.754166666666668,995.75,0.625
The Views,2025-07-06,33.75,30.8,38.3,60.125,0.0,17.229166666666668,995.2166666666667,1.0
The Views,2025-07-07,33.4125,29.0,37.0,51.541666666666664,0.0,16.295833333333334,995.725,0.4166666666666667
The Views,2025-07-08,33.987500000000004,30.0,38.2,47.291666666666664,0.0,12.441666666666668,996.3791666666667,0.20833333333333334
The Views,2025-07-09,34.55833333333333,30.1,38.0,40.166666666666664,0.0,10.033333333333333,996.5541666666667,0.2916666666666667
The Views,2025-07-10,35.4375,30.8,39.5,33.125,0.0,10.1875,996.5166666666668,0.4583333333333333
The Views,2025-07-11,36.97083333333333,32.1,43.0,42.25,0.0,15.120833333333332,997.0,0.16666666666666666
The Views,2025-07-12,37.479166666666664,32.8,42.2,41.625,0.0,16.825,998.4458333333333,3.0833333333333335
The Views,2025-07-13,38.233333333333334,32.4,45.6,36.583333333333336,0.0,15.029166666666667,998.775,0.3333333333333333
The Views,2025-07-14,39.579166666666666,33.9,45.2,28.708333333333332,0.0,15.058333333333332,997.0875,0.5833333333333334
The Views,2025-07-15,39.81666666666667,34.3,44.6,26.625,0.0,13.841666666666667,996.0791666666668,0.625
The Views,2025-07-16,38.574999999999996,34.4,44.7,32.666666666666664,0.0,14.304166666666667,996.6750000000001,0.5
The Views,2025-07-17,37.75833333333333,32.0,42.3,32.958333333333336,0.0,12.904166666666667,997.2041666666668,0.16666666666666666
The Views,2025-07-18,39.074999999999996,33.6,45.2,34.791666666666664,0.0,15.5625,997.1166666666667,0.6666666666666666
The Views,2025-07-19,38.55833333333333,33.8,43.9,39.833333333333336,0.0,15.754166666666668,995.8666666666667,0.125
The Views,2025-07-20,36.7875,32.4,40.2,52.875,0.0,11.9375,993.9916666666667,1.7083333333333333
The Views,2025-07-21,39.104166666666664,32.8,44.8,41.125,0.0,15.174999999999999,994.4291666666667,1.2916666666666667
The Views,2025-07-22,38.762499999999996,32.3,45.0,43.083333333333336,0.0,16.54583333333333,995.4708333333333,3.5
The Views,2025-07-23,35.86666666666667,32.5,40.5,57.833333333333336,0.0,12.125,993.8541666666666,4.541666666666667
The Views,2025-07-24,35.729166666666664,30.7,40.2,60.708333333333336,0.0,12.387500000000001,991.7958333333332,0.0
The Views,2025-07-25,38.42916666666667,32.3,45.1,46.416666666666664,0.0,19.412499999999998,992.0,0.5416666666666666
The Views,2025-07-26,38.71666666666667,32.6,44.8,40.375,0.0,16.579166666666666,994.2708333333334,1.0416666666666667
The Views,2025-07-27,39.1,33.6,44.7,34.041666666666664,0.0,14.620833333333332,995.2791666666667,2.875
The Views,2025-07-28,38.84166666666667,33.0,46.1,37.041666666666664,0.0,14.479166666666666,995.8666666666667,2.0
The Views,2025-07-29,38.483333333333334,33.6,46.0,35.333333333333336,0.0,15.754166666666668,996.7875,0.375
The Views,2025-07-30,36.795833333333334,32.5,41.6,43.375,0.0,14.058333333333332,996.0416666666666,0.7083333333333334
The Views,2025-07-31,38.44166666666667,32.7,44.2,38.833333333333336,0.0,12.3125,993.6708333333332,3.9166666666666665
The Views,2025-08-01,39.38333333333333,34.0,45.8,36.166666666666664,0.0,22.520833333333332,994.6374999999999,3.5
The Views,2025-08-02,38.229166666666664,31.5,44.1,43.333333333333336,0.0,18.041666666666668,996.9499999999999,1.5
The Views,2025-08-03,38.458333333333336,32.7,43.6,39.541666666666664,0.0,16.566666666666666,997.6958333333333,3.0416666666666665
The Views,2025-08-04,37.71666666666667,32.6,42.9,43.75,0.0,18.729166666666668,999.1958333333333,0.20833333333333334
The Views,2025-08-05,37.65833333333333,33.8,42.1,38.583333333333336,0.0,16.5,999.6625,0.9166666666666666
The Views,2025-08-06,38.11666666666667,34.0,43.5,35.291666666666664,0.0,16.279166666666665,999.2125,0.5416666666666666
The Views,2025-08-07,37.82083333333333,33.3,42.7,38.125,0.0,16.754166666666666,999.4916666666667,0.5833333333333334
The Views,2025-08-08,37.21666666666667,32.2,41.9,43.625,0.0,17.5125,1000.5333333333333,0.041666666666666664
The Views,2025-08-09,37.57083333333333,34.2,42.4,38.916666666666664,0.0,16.1375,1002.4458333333333,0.875
The Views,2025-08-10,37.766666666666666,33.0,42.6,36.625,0.0,16.254166666666666,1001.7333333333332,3.0833333333333335
The Views,2025-08-11,37.608333333333334,34.8,42.1,34.708333333333336,0.0,17.408333333333335,1001.8291666666668,1.0
The Views,2025-08-12,36.983333333333334,33.1,42.3,36.208333333333336,0.0,15.475,1001.4375,0.0
The Views,2025-08-13,36.199999999999996,31.5,40.7,44.916666666666664,0.0,14.0,999.1374999999999,0.6666666666666666
The Views,2025-08-14,36.637499999999996,31.4,40.9,41.833333333333336,0.0,10.991666666666667,997.0333333333333,2.9166666666666665
The Views,2025-08-15,37.06666666666667,32.6,42.5,45.375,0.0,28.433333333333334,996.5333333333333,4.333333333333333
The Views,2025-08-16,36.80833333333333,30.9,44.8,46.375,0.0,20.308333333333334,996.8125,2.25
The Views,2025-08-17,37.4125,32.4,43.3,40.75,0.0,15.012500000000001,997.1958333333333,3.0416666666666665
The Views,2025-08-18,37.55833333333333,33.2,42.1,39.125,0.0,13.579166666666666,998.4958333333334,4.75
The Views,2025-08-19,37.1625,34.0,41.7,44.25,0.0,16.533333333333335,998.3333333333334,7.083333333333333
The Views,2025-08-20,37.454166666666666,32.9,43.0,45.208333333333336,0.0,16.6875,996.7666666666668,2.7083333333333335
The Views,2025-08-21,36.545833333333334,32.8,41.1,45.458333333333336,0.0,17.125,999.2333333333332,0.75
The Views,2025-08-22,35.75833333333333,32.0,40.1,50.291666666666664,0.0,17.670833333333334,1000.025,0.8333333333333334
The Views,2025-08-23,35.87916666666667,32.4,41.1,50.208333333333336,0.0,16.208333333333332,998.2041666666668,0.4166666666666667
The Views,2025-08-24,34.90416666666667,31.1,39.4,57.416666666666664,0.0,15.008333333333333,998.525,0.875
The Views,2025-08-25,35.891666666666666,31.0,42.2,38.75,0.0,13.700000000000001,998.6750000000001,1.5
The Views,2025-08-26,36.7875,31.1,42.9,29.041666666666668,0.0,11.4625,998.8541666666666,2.125
The Views,2025-08-27,37.07083333333333,31.2,44.1,44.541666666666664,0.0,17.591666666666665,998.6083333333332,0.5416666666666666
The Views,2025-08-28,37.025,31.0,44.1,40.166666666666664,0.0,15.283333333333333,999.6291666666666,0.4583333333333333
The Views,2025-08-29,37.69583333333333,33.1,42.8,36.958333333333336,0.0,11.85,999.4666666666667,0.5833333333333334
