location_id,location_name,timezone,country_code,sensor_id,sensor_name,parameter,parameter_source_name,units,period_label,date_local_start,date_local_end,date_utc_start,date_utc_end,value,summary_min,summary_max,summary_median,coverage_expected_count,coverage_observed_count,coverage_percent_complete,coverage_percent_coverage
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-06T00:00:00+04:00,2024-09-07T00:00:00+04:00,2024-09-05T20:00:00Z,2024-09-06T20:00:00Z,49.7,27.800000190734863,70.20000139872234,39.71249961853027,24,15,63.0,63.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-07T00:00:00+04:00,2024-09-08T00:00:00+04:00,2024-09-06T20:00:00Z,2024-09-07T20:00:00Z,65.5,47.416666666666664,78.36666615804036,68.575000445048,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-08T00:00:00+04:00,2024-09-09T00:00:00+04:00,2024-09-07T20:00:00Z,2024-09-08T20:00:00Z,50.1,24.31666660308838,68.34583282470703,53.512500286102295,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-09T00:00:00+04:00,2024-09-10T00:00:00+04:00,2024-09-08T20:00:00Z,2024-09-09T20:00:00Z,53.4,38.14999930063883,91.87083307902019,45.48541657129923,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-10T00:00:00+04:00,2024-09-11T00:00:00+04:00,2024-09-09T20:00:00Z,2024-09-10T20:00:00Z,96.4,65.3625005086263,155.66666666666666,86.6374994913737,24,21,88.0,88.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-11T00:00:00+04:00,2024-09-12T00:00:00+04:00,2024-09-10T20:00:00Z,2024-09-11T20:00:00Z,79.9,62.24166679382324,92.10000038146973,78.04166730244955,24,22,92.0,92.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-12T00:00:00+04:00,2024-09-13T00:00:00+04:00,2024-09-11T20:00:00Z,2024-09-12T20:00:00Z,32.5,20.950000127156574,48.55833371480306,32.02708347638448,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-13T00:00:00+04:00,2024-09-14T00:00:00+04:00,2024-09-12T20:00:00Z,2024-09-13T20:00:00Z,33.8,17.1875,47.22083314259847,34.020833333333336,24,17,71.0,71.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-14T00:00:00+04:00,2024-09-15T00:00:00+04:00,2024-09-13T20:00:00Z,2024-09-14T20:00:00Z,49.7,19.104166666666668,87.07083257039388,50.23958333333333,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-15T00:00:00+04:00,2024-09-16T00:00:00+04:00,2024-09-14T20:00:00Z,2024-09-15T20:00:00Z,67.0,36.34583330154419,95.73333358764648,65.59583361943564,24,24,100.0,100.0
